removed_feature,breaches,avg_margin_percent,procyclicality
atm_iv_mom_1,5,0.046999830642575326,0.0050397257412071106
implied_kurtosis_mom_1,5,0.047001913205394895,0.005020295058517758
atm_iv_ma_2,5,0.04700033083992095,0.005019857501174818
implied_skew_mom_1,5,0.04700087305124364,0.00501537273922402
implied_skew_ma_2,5,0.04700117524664448,0.005016902638099043
rho_lag_1,5,0.04699955541672822,0.005016189995412915
F,5,0.04700079277763007,0.005015564163880717
atm_iv_lag_1,5,0.04700050149522354,0.005021578445795243
rho_ma_2,5,0.04700046384982362,0.005018318742780094
implied_variance_mom_1,5,0.04699960167954856,0.005021497034121201
implied_skew_lag_1,5,0.04700007057185974,0.005015257001667294
nu,5,0.04700048241385237,0.005037289292182584
rho_mom_1,5,0.047000674560503816,0.005016425334275552
iv_rmse,5,0.04700106429975179,0.005015890261761706
T,5,0.04699909800965676,0.005004552862993292
rho,5,0.04700198758693455,0.005014223072115387
implied_kurtosis,5,0.047001886076768085,0.005017733205049404
r,5,0.04700180820832417,0.005019884351548973
implied_kurtosis_lag_1,5,0.046999742181186584,0.005020146747934663
implied_skew,5,0.04700106184184285,0.005018382668872144
vol_regime_high,5,0.04700110347560665,0.0050177303350786824
vol_regime_low,5,0.047000192898869995,0.005018636552874622
skew_kurt_interaction,5,0.04700066509622593,0.00501300370732173
vol_momentum,5,0.04700100441529731,0.005022022099383756
term_structure_interaction,5,0.04700049052380742,0.005018293480036505
rho_vol_interaction,5,0.047000828608929866,0.005020116535942593
iv_vol_ratio,5,0.046998185931642664,0.0050160419786267636
skew_level,5,0.04700107720314398,0.0050169132342685685
OVX_Close_ma_2,5,0.046998192441673324,0.005012471654900137
OVX_Close_mom_1,5,0.04700076734769154,0.005012133701073038
