alpha,nu,rho,iv_rmse,pdf_mass,warn_code,theta,phi,date,model
,,-0.452770521126284,0.009427362028788978,0.9999992544451739,,0.020969575236152848,3.0527703834299587,01-31-2025,SSVI
,,-0.44518682463563325,0.00944748975407411,0.9999993620856994,,0.02097026791796469,3.0227386446384257,01-31-2025,SSVI
,,-0.431247829652442,0.00951150095509754,0.9999995034808324,,0.020965642361202182,2.981970044356235,01-31-2025,SSVI
,,-0.410162721759074,0.009583927490444637,0.9999996765411433,,0.020956123263742542,2.910395726606876,01-31-2025,SSVI
,,-0.40308338935839877,0.009588040194155024,0.9999997257048373,,0.021006827714172074,2.8720085258328436,01-31-2025,SSVI
,,-0.34819411260201555,0.008059377056876099,0.99999999459095,,0.018851821838614745,2.4629420729375413,02-03-2025,SSVI
,,-0.34819411260201555,0.008059377056876099,0.99999999459095,,0.018851821838614745,2.4629420729375413,02-03-2025,SSVI
,,-0.46315059908516903,0.00796736626573211,0.999999917904113,,0.018090625427198026,2.954250087957155,02-03-2025,SSVI
,,-0.4220463024671771,0.008139107057611516,0.9999999595687494,,0.017992314017226257,2.896038993125066,02-03-2025,SSVI
,,-0.47257820921938143,0.007995443240610958,0.9999998953346938,,0.017846665783697934,3.048926703368812,02-03-2025,SSVI
,,-0.6541996460740513,0.008525780838360406,0.9999741307682914,,0.019432543102396695,4.3734292587159755,02-04-2025,SSVI
,,-0.6627940771364929,0.008529825745869732,0.9999699496965059,,0.0192943573136345,4.474968891052312,02-04-2025,SSVI
,,-0.6627570104419307,0.008534243613949952,0.9999696242694198,,0.019254403879863772,4.492792753431759,02-04-2025,SSVI
,,-0.39873928360666355,0.009926374002384388,0.9999997409904721,,0.019276596661618205,3.2042441088484535,02-04-2025,SSVI
,,-0.4788207827827869,0.00967266860662739,0.9999983548940877,,0.01926713401071954,3.617569345085107,02-04-2025,SSVI
,,-0.4779102003404276,0.009461695007600017,0.9999986733459064,,0.01886182804938379,3.632120527440144,02-04-2025,SSVI
0.09137655897252095,1.9617645790641862,-0.5488276475327576,0.025100670844354776,0.998957904628416,,,,02-05-2025,SVI-SABR
0.09002838724716429,1.9991836752244405,-0.5507755219012572,0.025583263243637133,0.9989361354166438,,,,02-05-2025,SVI-SABR
0.08602334702016122,2.044368722839906,-0.5366632204127549,0.024119311304059504,0.9991148348333931,,,,02-05-2025,SVI-SABR
0.08537373449601443,2.147879600257233,-0.5518294708294891,0.026204433696438285,0.9988515708527228,,,,02-05-2025,SVI-SABR
0.08310778557744393,2.2049045420722293,-0.5537265662895381,0.02977383084359651,0.9988588528843982,,,,02-05-2025,SVI-SABR
0.08168732841200632,2.259566526655942,-0.5542919597103388,0.029756474385713404,0.9988215455070137,,,,02-05-2025,SVI-SABR
0.07905122389905299,2.3416305625164613,-0.5496544255401592,0.033039423936103304,0.9988345500478432,,,,02-05-2025,SVI-SABR
0.06954092026053388,2.676669600145785,-0.5440140362913304,0.04046948420803726,0.9988629055379403,,,,02-05-2025,SVI-SABR
0.06962386142212967,0.7775628424482769,0.026770850856736153,0.011942881701071687,0.9999999999974287,,,,02-06-2025,SVI-SABR
0.06961866681779112,0.7772589604476237,0.02630944216159714,0.012033474312519528,0.9999999999974242,,,,02-06-2025,SVI-SABR
0.07062935823929006,0.7557618100188594,0.03339102821781514,0.01403641757219712,0.9999999999980839,,,,02-06-2025,SVI-SABR
0.07093038710044827,0.7457927753982542,0.03671157619219682,0.014186152514868865,0.9999999999984321,,,,02-06-2025,SVI-SABR
0.07039647438115333,0.7575637198910486,0.030454265741205338,0.01331043623748415,0.9999999999981449,,,,02-06-2025,SVI-SABR
0.068569748406431,0.79647809949422,0.016904114880652514,0.014768538027888465,0.9999999999967532,,,,02-06-2025,SVI-SABR
0.06808727624975257,0.8110639657765519,0.018174728480097872,0.014550064239902445,0.9999999999959329,,,,02-06-2025,SVI-SABR
0.06889034160060663,0.7844886148984377,-0.0051236127299504,0.014227719612335637,0.9999999999963921,,,,02-06-2025,SVI-SABR
0.05997062027127913,0.628874084195966,0.2918827612550784,0.014348324886430949,0.99999999999996,,,,02-07-2025,SVI-SABR
0.06006361094560018,0.6205409586423072,0.2956393300075497,0.01430809682687216,0.9999999999999676,,,,02-07-2025,SVI-SABR
0.059947912498808105,0.6304409852309525,0.2916241415179954,0.014280236736226156,0.9999999999999581,,,,02-07-2025,SVI-SABR
0.060020028187448504,0.6274629252108946,0.29462644349558487,0.014209940013548444,0.9999999999999593,,,,02-07-2025,SVI-SABR
0.06010161130794114,0.6252158178704376,0.29746980169638204,0.014227900658725458,0.9999999999999587,,,,02-07-2025,SVI-SABR
0.060315451982230074,0.6203291056600441,0.3017892461872012,0.014648307326031071,0.9999999999999589,,,,02-07-2025,SVI-SABR
0.060888230865088974,0.6510246947097413,0.2402738308675565,0.017072028924555,0.9999999999999506,,,,02-07-2025,SVI-SABR
