date,alpha,nu,rho,iv_rmse,pdf_mass,band_pct_within,warn_code
01-31-2025,0.1769217082836021,3.1357927128808387,-0.4732656292112222,0.02403273231226879,0.8900864622963156,,
01-31-2025,0.1769477266245072,3.1347097779088497,-0.4734180466254227,0.023927220714890444,0.8900838178686125,,
01-31-2025,0.17710797476364956,3.13188872182315,-0.4727155317993346,0.023944395140878656,0.8900097079230846,,
01-31-2025,0.17731814065128168,3.126054316888032,-0.4721675234218317,0.02381797249439052,0.8902199942330212,,
01-31-2025,0.17800143608896715,3.11391779361402,-0.4716886549317164,0.023518272275878147,0.8899462866968567,,
02-03-2025,0.18173299549210903,2.491121486660175,-0.34860928314585243,0.030954622074340306,0.8965908545718244,,
02-03-2025,0.18173299549210903,2.491121486660175,-0.34860928314585243,0.030954622074340306,0.8965908545718244,,
02-03-2025,0.16856030260704194,2.8348440938921846,-0.35551219949493784,0.028635338411477685,0.89620335728484,,
02-03-2025,0.1655366344620668,2.900573038270897,-0.3602078219846203,0.027681406368116186,0.8968085290021808,,
02-03-2025,0.1651971284691996,2.90797999218042,-0.36099022158757904,0.028131535471116013,0.896119851061016,,
02-04-2025,0.1684445055942727,3.547729630075223,-0.558448236848617,0.030338029982376512,0.8899537157478014,,
02-04-2025,0.16685350892305673,3.593556889327839,-0.5565206077432883,0.031278039356142165,0.8904214490272977,,
02-04-2025,0.16631197220429692,3.6078359334133903,-0.5588615610450843,0.030957101589904133,0.8906850642096872,,
02-04-2025,0.1742537344019412,3.22755824252207,-0.5273210740414935,0.04480404326419691,0.8932903530454709,,
02-04-2025,0.16627442461995157,3.496608627287995,-0.5382077754502971,0.042992363102696746,0.894192823050909,,
02-04-2025,0.16568727291244106,3.414090892575111,-0.5254058122661052,0.041836588165001534,0.8933605265766644,,
02-05-2025,0.16538546858694958,3.5503414399845363,-0.548896333615711,0.025100694172888863,0.8911157288488932,,
02-05-2025,0.16293630583803165,3.6173455512033637,-0.5507917428675062,0.02558326275266513,0.8913080814841379,,
02-05-2025,0.15568542743075187,3.69919026759147,-0.5366568786324871,0.02411931260323178,0.8940258824505078,,
02-05-2025,0.15447528343878347,3.8881214409178706,-0.5517542783024887,0.02620445153693481,0.8939571443964718,,
02-05-2025,0.15040519116302564,3.989937285901521,-0.5537571864368237,0.029773831369874524,0.8936303091599893,,
02-05-2025,0.1478284750832197,4.089240549965499,-0.5543283002063163,0.029756475762887376,0.8943635439058049,,
02-05-2025,0.14303377628531105,4.239341774918473,-0.5496183693278108,0.033039420561465506,0.8957226402477811,,
02-05-2025,0.12584888832677268,4.84391361801135,-0.5440128678412459,0.04046948420757223,0.9002756555612872,,
02-06-2025,0.12711485320309288,1.4196252169776646,0.026781111799222487,0.011942881687223187,0.8982401879829497,,
02-06-2025,0.12710488984366167,1.419068886356984,0.02631994514499567,0.01203347430549661,0.8982498637515016,,
02-06-2025,0.12900202495577986,1.3774925570084626,0.0337691192159613,0.01403631412189708,0.8969398796513611,,
02-06-2025,0.12950069663906988,1.3615799869263234,0.03673245022818948,0.014186152422841507,0.8965689690840328,,
02-06-2025,0.12852450825278267,1.3831135726112758,0.03046225668375487,0.013310436023097094,0.8964372844932592,,
02-06-2025,0.1251667856448079,1.455627275846043,0.01662200565028504,0.014768516500755025,0.8990771495427461,,
02-06-2025,0.12433974307397898,1.4792900961925175,0.01842097326269729,0.014550100937806388,0.9008669071860407,,
02-06-2025,0.1257785081082414,1.43213713326762,-0.005097679694175663,0.014227719217135452,0.8969696011568292,,
02-07-2025,0.11050119628967306,1.1582900789943595,0.2920294708379183,0.014348328625647534,0.8499056989521239,,
02-07-2025,0.11067954973340902,1.1424562659193211,0.2959528059076841,0.014308108462531213,0.8493414431266768,,
02-07-2025,0.11045629729935556,1.1613764018140853,0.29171366320218883,0.014280236360761783,0.8500533621653408,,
02-07-2025,0.11058554122966345,1.156022033546731,0.2946094330067134,0.014209939204772988,0.8497389202036845,,
02-07-2025,0.11070961771571793,1.1534874041559366,0.2968944104076156,0.014227889577004996,0.84945874827527,,
02-07-2025,0.11112892953161112,1.1431634576279963,0.3016663221751838,0.014648307882088889,0.8483871252589047,,
02-07-2025,0.112185430170122,1.199537616806659,0.24025111244142033,0.01707202893889837,0.845094398806008,,
